Customer_id,Gender,Age,City,Order_id,Order_date,Restaurant_name,Dish_Name,Category,Quantity,Price,Payment_method,Order_frequency,Churned,Rating,Delivery_status
C2131,OTHER,Adult,Lahore,O6131,12-01-2023,Subway,Burger,Dessert,5,1265.89,Card,3,Active,1,Delivered
C4670,OTHER,Adult,Peshawar,O8670,09-02-2023,Pizza Hut,Fries,Italian,3,124.6,Card,26,Inactive,2,Cancelled
C5186,FEMALE,Adult,Peshawar,O9186,09-02-2023,Subway,Pizza,Continental,2,158.21,Cash,8,Active,3,Delayed
C5134,MALE,Senior,Lahore,O9134,09-02-2023,Burger King,Sandwich,Chinese,3,184.12,Card,41,Inactive,4,Cancelled
C2760,OTHER,Teenager,Lahore,O6760,09-02-2023,McDonald's,Pizza,Dessert,4,664.08,Cash,20,Inactive,3,Cancelled
C5340,MALE,Teenager,Peshawar,O9340,09-02-2023,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,Inactive,2,Delayed
C5353,MALE,Adult,Islamabad,O9353,09-02-2023,KFC,Pizza,Dessert,2,1491.88,Cash,44,Active,5,Delayed
C6045,FEMALE,Teenager,Multan,O10045,10-02-2023,Subway,Fries,Dessert,1,184.69,Cash,25,Inactive,2,Delivered
C3022,OTHER,Adult,Islamabad,O7022,10-02-2023,Pizza Hut,Burger,Fast Food,4,788.71,Card,27,Inactive,1,Delivered
C2221,MALE,Senior,Lahore,O6221,10-02-2023,Burger King,Sandwich,Dessert,2,859.16,Cash,18,Active,2,Cancelled
C1303,MALE,Teenager,Lahore,O5303,10-02-2023,Subway,Fries,Dessert,4,1007.04,Cash,22,Inactive,3,Delayed
C3908,MALE,Teenager,Peshawar,O7908,10-02-2023,McDonald's,Fries,Chinese,5,1420.1,Card,15,Active,1,Delivered
C5527,MALE,Adult,Multan,O9527,11-02-2023,KFC,Fries,Fast Food,2,114.1,Cash,10,Inactive,2,Cancelled
C3673,MALE,Teenager,Lahore,O7673,11-02-2023,McDonald's,Burger,Italian,3,547.13,Cash,22,Inactive,4,Delayed
C5297,FEMALE,Senior,Karachi,O9297,11-02-2023,Burger King,Pizza,Chinese,3,804.41,Wallet,3,Inactive,5,Delayed
C4456,FEMALE,Adult,Peshawar,O8456,11-02-2023,Pizza Hut,Fries,Continental,3,873.53,Cash,15,Inactive,2,Delivered
C3492,OTHER,Senior,Karachi,O7492,11-02-2023,Pizza Hut,Pizza,Chinese,2,890.41,Card,16,Active,1,Cancelled
C2499,FEMALE,Senior,Karachi,O6499,11-02-2023,Burger King,Burger,Chinese,4,942.14,Wallet,17,Inactive,2,Delivered
C4938,MALE,Teenager,Lahore,O8938,11-02-2023,KFC,Pizza,Chinese,4,1010.88,Cash,20,Active,4,Delivered
C2999,OTHER,Teenager,Peshawar,O6999,11-02-2023,Pizza Hut,Burger,Italian,2,1095.03,Wallet,49,Inactive,4,Delayed
C6996,MALE,Senior,Karachi,O10996,11-02-2023,KFC,Pasta,Dessert,4,1117.04,Card,42,Inactive,5,Delayed
C5775,MALE,Teenager,Multan,O9775,11-02-2023,KFC,Pasta,Dessert,5,1409.81,Wallet,2,Inactive,2,Delivered
C4255,OTHER,Teenager,Multan,O8255,12-02-2023,Burger King,Pasta,Chinese,3,192,Card,43,Inactive,4,Cancelled
C5096,MALE,Adult,Islamabad,O9096,12-02-2023,Burger King,Burger,Continental,3,369.14,Cash,48,Inactive,1,Delayed
C4996,OTHER,Teenager,Multan,O8996,12-02-2023,KFC,Fries,Dessert,3,400.38,Wallet,32,Active,3,Delivered
C5355,FEMALE,Senior,Karachi,O9355,12-02-2023,KFC,Sandwich,Fast Food,2,517.38,Wallet,25,Inactive,4,Delayed
C3335,MALE,Adult,Karachi,O7335,12-02-2023,Pizza Hut,Fries,Chinese,2,604.46,Wallet,18,Inactive,5,Cancelled
C4248,MALE,Teenager,Peshawar,O8248,12-02-2023,McDonald's,Burger,Dessert,1,690.62,Wallet,36,Inactive,5,Delayed
C6337,MALE,Senior,Lahore,O10337,12-02-2023,KFC,Fries,Dessert,3,866.31,Card,22,Inactive,2,Delayed
C1380,OTHER,Teenager,Lahore,O5380,12-02-2023,Burger King,Pasta,Chinese,4,1021.47,Card,6,Inactive,2,Cancelled
C1376,FEMALE,Senior,Peshawar,O5376,12-02-2023,KFC,Sandwich,Dessert,1,1286.78,Card,14,Inactive,3,Delayed
C4659,FEMALE,Adult,Karachi,O8659,12-02-2023,KFC,Fries,Chinese,2,1332.67,Cash,10,Active,4,Delayed
C2177,MALE,Teenager,Peshawar,O6177,12-02-2023,Pizza Hut,Pizza,Chinese,2,1356.06,Wallet,14,Active,2,Cancelled
C3877,OTHER,Teenager,Islamabad,O7877,09-03-2023,KFC,Fries,Continental,4,213.52,Cash,50,Active,3,Cancelled
C6532,FEMALE,Senior,Islamabad,O10532,09-03-2023,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,Inactive,3,Delayed
C1833,OTHER,Adult,Peshawar,O5833,09-03-2023,KFC,Burger,Chinese,4,599.35,Cash,3,Inactive,2,Cancelled
C2631,FEMALE,Adult,Lahore,O6631,09-03-2023,Subway,Pasta,Continental,2,1174.62,Card,50,Active,5,Cancelled
C2398,OTHER,Senior,Islamabad,O6398,09-03-2023,Subway,Pasta,Chinese,1,1187.79,Cash,41,Inactive,2,Cancelled
C5122,OTHER,Senior,Multan,O9122,09-03-2023,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,Active,1,Delayed
C2040,MALE,Senior,Peshawar,O6040,09-03-2023,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,Inactive,3,Cancelled
C6928,OTHER,Adult,Lahore,O10928,10-03-2023,Burger King,Fries,Chinese,5,413.8,Cash,43,Active,3,Delivered
C5812,MALE,Adult,Multan,O9812,10-03-2023,Subway,Burger,Fast Food,5,918.17,Card,30,Inactive,3,Delayed
C6696,OTHER,Senior,Karachi,O10696,10-03-2023,Subway,Sandwich,Dessert,5,1184.79,Cash,35,Inactive,5,Delayed
C5077,MALE,Adult,Multan,O9077,10-03-2023,Subway,Pasta,Italian,5,1232.59,Cash,49,Active,3,Delayed
C3098,MALE,Teenager,Karachi,O7098,10-03-2023,Burger King,Burger,Continental,1,1479.44,Wallet,15,Active,3,Cancelled
C3833,MALE,Teenager,Multan,O7833,11-03-2023,Pizza Hut,Fries,Chinese,5,214.58,Wallet,32,Inactive,3,Delivered
C5020,MALE,Teenager,Multan,O9020,11-03-2023,McDonald's,Fries,Fast Food,3,311.08,Wallet,48,Active,4,Delayed
C3018,MALE,Adult,Lahore,O7018,11-03-2023,Subway,Pasta,Chinese,4,443.28,Cash,16,Inactive,4,Cancelled
C1906,MALE,Senior,Karachi,O5906,11-03-2023,McDonald's,Burger,Dessert,2,538.18,Card,28,Active,5,Cancelled
C2967,FEMALE,Senior,Islamabad,O6967,11-03-2023,KFC,Pizza,Fast Food,4,935.15,Cash,49,Active,2,Delivered
C2113,OTHER,Teenager,Peshawar,O6113,11-03-2023,McDonald's,Fries,Dessert,4,1099.24,Cash,4,Active,2,Cancelled
C2561,FEMALE,Adult,Peshawar,O6561,11-03-2023,McDonald's,Fries,Italian,4,1266.3,Wallet,3,Inactive,5,Delayed
C3355,OTHER,Adult,Multan,O7355,11-03-2023,McDonald's,Pasta,Chinese,3,1336.05,Cash,32,Active,5,Delayed
C4794,OTHER,Adult,Multan,O8794,12-03-2023,Burger King,Pizza,Dessert,1,143.03,Card,32,Active,5,Cancelled
C5112,OTHER,Adult,Lahore,O9112,12-03-2023,Subway,Burger,Dessert,5,149.78,Card,23,Inactive,5,Cancelled
C6479,MALE,Adult,Multan,O10479,12-03-2023,Pizza Hut,Fries,Fast Food,2,311.55,Wallet,48,Active,1,Cancelled
C5176,MALE,Adult,Lahore,O9176,12-03-2023,KFC,Fries,Italian,5,389.74,Card,6,Inactive,2,Cancelled
C4625,FEMALE,Adult,Peshawar,O8625,12-03-2023,Pizza Hut,Pizza,Chinese,1,531.32,Card,38,Active,4,Delayed
C4650,OTHER,Adult,Islamabad,O8650,12-03-2023,Subway,Fries,Fast Food,1,842.48,Card,26,Inactive,3,Delivered
C2681,FEMALE,Teenager,Lahore,O6681,12-03-2023,Burger King,Burger,Fast Food,3,894.61,Card,5,Active,1,Delayed
C1654,MALE,Adult,Multan,O5654,12-03-2023,Subway,Pizza,Fast Food,5,922.78,Cash,1,Inactive,1,Delayed
C4258,MALE,Senior,Multan,O8258,12-03-2023,Burger King,Burger,Fast Food,3,1049.62,Cash,48,Active,1,Delivered
C1667,OTHER,Adult,Islamabad,O5667,12-03-2023,KFC,Pizza,Chinese,4,1066.14,Wallet,49,Inactive,5,Delivered
C6507,OTHER,Teenager,Karachi,O10507,12-03-2023,Pizza Hut,Burger,Fast Food,5,1198.52,Card,50,Inactive,2,Delayed
C6747,OTHER,Adult,Peshawar,O10747,12-03-2023,KFC,Pizza,Continental,4,1221.1,Wallet,48,Active,2,Cancelled
C5528,MALE,Adult,Karachi,O9528,12-03-2023,Burger King,Pasta,Italian,3,1228.56,Cash,17,Inactive,2,Cancelled
C1399,FEMALE,Teenager,Karachi,O5399,12-03-2023,McDonald's,Sandwich,Continental,4,1236,Wallet,2,Inactive,2,Cancelled
C4679,MALE,Senior,Peshawar,O8679,12-03-2023,Pizza Hut,Sandwich,Chinese,4,1397.34,Cash,10,Inactive,3,Delayed
C3729,OTHER,Senior,Lahore,O7729,12-03-2023,Pizza Hut,Pasta,Dessert,4,1479.68,Card,29,Active,1,Delayed
C3087,FEMALE,Adult,Peshawar,O7087,09-04-2023,Subway,Pizza,Italian,2,526.39,Wallet,7,Inactive,1,Delayed
C4158,MALE,Senior,Islamabad,O8158,09-04-2023,KFC,Fries,Chinese,3,566.9,Wallet,22,Active,3,Cancelled
C4259,MALE,Teenager,Islamabad,O8259,09-04-2023,McDonald's,Fries,Continental,3,734.85,Card,48,Active,4,Delivered
C3705,OTHER,Teenager,Lahore,O7705,09-04-2023,Burger King,Pasta,Italian,3,881.71,Wallet,16,Active,2,Cancelled
C6268,MALE,Teenager,Islamabad,O10268,09-04-2023,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,Active,5,Cancelled
C5223,OTHER,Adult,Multan,O9223,09-04-2023,Subway,Fries,Chinese,3,1142.45,Wallet,9,Inactive,1,Delayed
C4636,FEMALE,Teenager,Lahore,O8636,09-04-2023,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,Active,1,Delayed
C1173,MALE,Teenager,Multan,O5173,10-04-2023,Burger King,Pizza,Italian,3,341.1,Wallet,1,Inactive,4,Delayed
C2178,OTHER,Adult,Peshawar,O6178,10-04-2023,McDonald's,Fries,Chinese,5,457.3,Card,5,Active,3,Cancelled
C5419,MALE,Teenager,Lahore,O9419,10-04-2023,Pizza Hut,Fries,Italian,5,693.72,Wallet,22,Inactive,2,Delayed
C1180,MALE,Teenager,Karachi,O5180,10-04-2023,Burger King,Pizza,Fast Food,2,837.52,Wallet,32,Inactive,4,Cancelled
C6061,MALE,Teenager,Multan,O10061,10-04-2023,McDonald's,Pasta,Dessert,2,863.59,Wallet,36,Inactive,4,Delivered
C4286,FEMALE,Teenager,Lahore,O8286,10-04-2023,KFC,Pasta,Fast Food,3,1003.16,Wallet,23,Active,1,Delayed
C2162,FEMALE,Senior,Lahore,O6162,10-04-2023,Pizza Hut,Burger,Chinese,1,1409.53,Cash,25,Inactive,5,Cancelled
C3851,OTHER,Adult,Islamabad,O7851,10-04-2023,Pizza Hut,Burger,Dessert,5,1461.61,Cash,15,Active,1,Delayed
C4308,OTHER,Teenager,Karachi,O8308,11-04-2023,KFC,Fries,Chinese,1,122.48,Card,21,Active,4,Delayed
C5043,FEMALE,Teenager,Peshawar,O9043,11-04-2023,McDonald's,Pasta,Chinese,1,202.27,Cash,7,Inactive,2,Delivered
C6566,MALE,Senior,Lahore,O10566,11-04-2023,Burger King,Sandwich,Italian,3,586.44,Wallet,50,Inactive,1,Delayed
C1546,FEMALE,Teenager,Lahore,O5546,11-04-2023,Pizza Hut,Burger,Continental,2,853.16,Card,49,Inactive,2,Delivered
C1910,FEMALE,Teenager,Lahore,O5910,11-04-2023,Pizza Hut,Pasta,Chinese,2,993.76,Cash,13,Active,1,Delivered
C3676,OTHER,Senior,Peshawar,O7676,11-04-2023,Pizza Hut,Pasta,Dessert,2,1053.22,Card,7,Inactive,4,Cancelled
C6674,FEMALE,Adult,Islamabad,O10674,11-04-2023,Pizza Hut,Pasta,Dessert,2,1201.85,Cash,38,Inactive,3,Delivered
C5087,FEMALE,Adult,Lahore,O9087,11-04-2023,McDonald's,Sandwich,Continental,4,1206.87,Card,15,Inactive,4,Delayed
C1692,OTHER,Adult,Lahore,O5692,12-04-2023,Subway,Fries,Dessert,3,221.52,Cash,38,Active,3,Delayed
C3653,MALE,Senior,Lahore,O7653,12-04-2023,Burger King,Sandwich,Italian,3,235.82,Card,46,Inactive,4,Cancelled
C6964,MALE,Teenager,Islamabad,O10964,12-04-2023,McDonald's,Sandwich,Fast Food,2,295.31,Cash,26,Active,2,Cancelled
C4931,MALE,Senior,Peshawar,O8931,12-04-2023,Pizza Hut,Sandwich,Chinese,2,693.55,Card,50,Inactive,2,Delivered
C2676,FEMALE,Teenager,Lahore,O6676,12-04-2023,McDonald's,Pasta,Chinese,4,922.51,Cash,34,Active,4,Cancelled
C5242,FEMALE,Senior,Multan,O9242,12-04-2023,Pizza Hut,Pizza,Continental,5,943.46,Cash,41,Active,2,Delivered
C4190,MALE,Adult,Peshawar,O8190,12-04-2023,Pizza Hut,Pizza,Continental,5,1028.29,Cash,31,Active,1,Cancelled
C6228,MALE,Adult,Multan,O10228,12-04-2023,McDonald's,Sandwich,Fast Food,3,1173.97,Cash,23,Inactive,2,Delivered
C4583,OTHER,Senior,Peshawar,O8583,12-04-2023,KFC,Burger,Chinese,2,1207.81,Card,20,Inactive,4,Delayed
C3099,OTHER,Adult,Karachi,O7099,12-04-2023,Burger King,Pasta,Fast Food,5,1403.15,Wallet,18,Inactive,5,Delayed
C5442,MALE,Teenager,Islamabad,O9442,12-04-2023,Burger King,Sandwich,Continental,4,1470.67,Wallet,4,Active,2,Cancelled
C2154,MALE,Teenager,Peshawar,O6154,09-05-2023,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,Active,2,Delivered
C4725,OTHER,Senior,Islamabad,O8725,09-05-2023,Subway,Pizza,Continental,4,321.23,Wallet,32,Inactive,2,Delivered
C1727,MALE,Adult,Multan,O5727,09-05-2023,Burger King,Fries,Dessert,3,465.28,Wallet,4,Active,4,Delivered
C6419,FEMALE,Senior,Peshawar,O10419,09-05-2023,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,Active,3,Delivered
C3992,MALE,Teenager,Lahore,O7992,09-05-2023,Subway,Fries,Italian,5,904.16,Card,10,Inactive,4,Delayed
C1434,OTHER,Senior,Multan,O5434,09-05-2023,Subway,Burger,Chinese,4,949.24,Card,21,Active,2,Cancelled
C3703,OTHER,Teenager,Multan,O7703,09-05-2023,McDonald's,Fries,Fast Food,4,1071.49,Card,39,Active,2,Delayed
C6935,OTHER,Senior,Islamabad,O10935,10-05-2023,McDonald's,Burger,Chinese,5,239.8,Wallet,9,Inactive,5,Delivered
C3948,FEMALE,Adult,Karachi,O7948,10-05-2023,KFC,Fries,Continental,3,307.64,Card,37,Active,2,Delivered
C1574,FEMALE,Teenager,Lahore,O5574,10-05-2023,Pizza Hut,Pasta,Continental,5,352.94,Wallet,25,Inactive,4,Delivered
C3598,FEMALE,Senior,Karachi,O7598,10-05-2023,Burger King,Sandwich,Fast Food,4,658.8,Wallet,10,Active,3,Cancelled
C6192,FEMALE,Adult,Multan,O10192,10-05-2023,McDonald's,Burger,Fast Food,5,1067.86,Cash,41,Inactive,1,Delivered
C5317,MALE,Adult,Islamabad,O9317,10-05-2023,Burger King,Burger,Continental,3,1352.38,Cash,47,Active,5,Cancelled
C4758,OTHER,Senior,Multan,O8758,10-05-2023,Burger King,Pasta,Chinese,2,1353.28,Wallet,10,Active,5,Cancelled
C1085,OTHER,Senior,Karachi,O5085,11-05-2023,Burger King,Fries,Chinese,4,812.01,Wallet,48,Inactive,3,Cancelled
C4894,MALE,Teenager,Lahore,O8894,11-05-2023,Burger King,Burger,Chinese,3,1254.02,Card,48,Inactive,3,Delayed
C1611,FEMALE,Senior,Multan,O5611,12-05-2023,KFC,Sandwich,Dessert,3,323.41,Card,17,Active,2,Delivered
C4263,OTHER,Teenager,Lahore,O8263,12-05-2023,Burger King,Sandwich,Fast Food,2,341.27,Wallet,23,Inactive,3,Delayed
C2917,FEMALE,Teenager,Multan,O6917,12-05-2023,Pizza Hut,Burger,Italian,2,535.84,Cash,12,Inactive,3,Cancelled
C3901,OTHER,Senior,Karachi,O7901,12-05-2023,Burger King,Burger,Fast Food,3,1030.23,Card,27,Active,1,Delayed
C4906,FEMALE,Adult,Lahore,O8906,12-05-2023,KFC,Burger,Chinese,1,1429.2,Wallet,18,Inactive,2,Delivered
C5633,OTHER,Adult,Lahore,O9633,09-06-2023,KFC,Fries,Italian,5,218.68,Wallet,26,Active,4,Delivered
C1356,FEMALE,Teenager,Islamabad,O5356,09-06-2023,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,Inactive,1,Delayed
C6640,FEMALE,Adult,Karachi,O10640,09-06-2023,Subway,Pasta,Italian,1,368.03,Cash,25,Inactive,4,Delayed
C5834,OTHER,Adult,Multan,O9834,09-06-2023,Pizza Hut,Burger,Dessert,4,395.88,Card,37,Inactive,3,Delayed
C6282,FEMALE,Senior,Lahore,O10282,09-06-2023,KFC,Sandwich,Italian,5,626.86,Card,47,Inactive,4,Delayed
C3241,OTHER,Adult,Peshawar,O7241,09-06-2023,McDonald's,Fries,Dessert,3,667.31,Cash,22,Active,3,Delivered
C4303,MALE,Adult,Multan,O8303,09-06-2023,KFC,Sandwich,Dessert,2,893.55,Cash,17,Inactive,3,Delayed
C6318,MALE,Teenager,Islamabad,O10318,09-06-2023,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,Active,4,Cancelled
C6515,FEMALE,Teenager,Multan,O10515,10-06-2023,Subway,Pizza,Italian,4,197.71,Cash,20,Inactive,3,Delivered
C2902,OTHER,Teenager,Islamabad,O6902,10-06-2023,Burger King,Pasta,Continental,2,242.87,Wallet,7,Active,2,Delivered
C3161,MALE,Adult,Islamabad,O7161,10-06-2023,McDonald's,Pasta,Italian,5,468.95,Wallet,16,Inactive,5,Cancelled
C3761,OTHER,Adult,Multan,O7761,10-06-2023,McDonald's,Pasta,Continental,2,743.12,Cash,34,Active,2,Delayed
C3616,MALE,Senior,Karachi,O7616,10-06-2023,McDonald's,Fries,Italian,5,1111.88,Wallet,1,Inactive,5,Delayed
C6829,OTHER,Teenager,Islamabad,O10829,10-06-2023,Burger King,Burger,Continental,3,1257.67,Card,48,Active,1,Delivered
C2082,MALE,Senior,Peshawar,O6082,10-06-2023,Burger King,Sandwich,Continental,5,1351.93,Wallet,34,Active,3,Delivered
C6240,OTHER,Teenager,Lahore,O10240,10-06-2023,Pizza Hut,Pizza,Italian,2,1399.34,Cash,31,Active,2,Cancelled
C3250,FEMALE,Teenager,Peshawar,O7250,10-06-2023,Burger King,Pasta,Dessert,2,1480.26,Card,37,Inactive,4,Delayed
C1080,FEMALE,Teenager,Karachi,O5080,11-06-2023,Pizza Hut,Burger,Dessert,1,178.49,Cash,15,Active,5,Delayed
C4059,OTHER,Adult,Karachi,O8059,11-06-2023,Subway,Pasta,Chinese,1,193.63,Wallet,44,Active,5,Delayed
C3408,MALE,Adult,Lahore,O7408,11-06-2023,Subway,Pasta,Italian,2,277,Cash,42,Inactive,5,Delivered
C4799,FEMALE,Senior,Multan,O8799,11-06-2023,McDonald's,Pasta,Fast Food,5,300.28,Card,31,Inactive,1,Delivered
C4719,MALE,Senior,Karachi,O8719,11-06-2023,KFC,Pasta,Chinese,1,721.89,Card,49,Inactive,1,Cancelled
C4400,OTHER,Adult,Peshawar,O8400,11-06-2023,McDonald's,Pasta,Fast Food,4,816.51,Wallet,26,Inactive,2,Delivered
C2204,OTHER,Teenager,Karachi,O6204,11-06-2023,Pizza Hut,Pizza,Dessert,1,946.77,Card,11,Active,3,Delivered
C4781,OTHER,Senior,Peshawar,O8781,11-06-2023,Pizza Hut,Burger,Italian,5,1317.34,Wallet,36,Inactive,3,Cancelled
C6351,MALE,Teenager,Islamabad,O10351,12-06-2023,Pizza Hut,Pasta,Fast Food,3,339.72,Card,49,Inactive,3,Delayed
C2775,OTHER,Teenager,Islamabad,O6775,12-06-2023,Pizza Hut,Fries,Dessert,5,615.23,Wallet,21,Inactive,3,Delayed
C3758,MALE,Senior,Multan,O7758,12-06-2023,Subway,Fries,Fast Food,3,675.16,Cash,1,Inactive,1,Cancelled
C4945,MALE,Teenager,Peshawar,O8945,12-06-2023,Pizza Hut,Pizza,Dessert,4,710.18,Wallet,10,Active,3,Delayed
C2576,OTHER,Teenager,Karachi,O6576,12-06-2023,Burger King,Pasta,Italian,3,1107.19,Wallet,33,Active,2,Delayed
C2696,OTHER,Teenager,Peshawar,O6696,12-06-2023,Subway,Pizza,Italian,3,1483.1,Card,47,Active,1,Delivered
C5621,OTHER,Senior,Islamabad,O9621,09-07-2023,Burger King,Fries,Italian,5,162.05,Wallet,27,Inactive,2,Cancelled
C6273,MALE,Teenager,Peshawar,O10273,09-07-2023,Burger King,Pizza,Chinese,2,614,Card,21,Active,3,Cancelled
C1410,MALE,Teenager,Karachi,O5410,09-07-2023,KFC,Fries,Fast Food,1,708.22,Cash,39,Active,5,Delayed
C2832,OTHER,Teenager,Peshawar,O6832,09-07-2023,McDonald's,Pasta,Italian,4,792.08,Card,19,Inactive,4,Delivered
C1577,MALE,Senior,Karachi,O5577,09-07-2023,KFC,Pizza,Italian,1,820.53,Card,18,Inactive,1,Delivered
C2514,MALE,Teenager,Multan,O6514,09-07-2023,Burger King,Burger,Fast Food,3,892.81,Cash,25,Inactive,4,Cancelled
C5399,OTHER,Teenager,Lahore,O9399,09-07-2023,Burger King,Burger,Continental,4,1043.78,Card,6,Active,2,Delayed
C5668,FEMALE,Adult,Multan,O9668,09-07-2023,KFC,Burger,Fast Food,2,1115.36,Card,9,Active,2,Delayed
C1370,MALE,Senior,Lahore,O5370,09-07-2023,KFC,Pasta,Chinese,3,1186.98,Card,11,Inactive,2,Cancelled
C5722,MALE,Teenager,Multan,O9722,09-07-2023,Burger King,Fries,Continental,2,1215.67,Wallet,8,Inactive,4,Delivered
C6876,FEMALE,Teenager,Islamabad,O10876,09-07-2023,KFC,Pasta,Dessert,5,1356.66,Card,30,Inactive,4,Cancelled
C3748,FEMALE,Senior,Karachi,O7748,10-07-2023,Pizza Hut,Pizza,Fast Food,1,321.34,Wallet,22,Active,2,Delivered
C6354,MALE,Adult,Lahore,O10354,10-07-2023,Pizza Hut,Sandwich,Continental,1,353.12,Wallet,49,Active,4,Delayed
C5677,MALE,Adult,Multan,O9677,10-07-2023,Burger King,Pizza,Continental,3,489.92,Wallet,7,Active,2,Delayed
